Jaar,Maand,Prijsindex ((2015=100)),Verandering t.o.v. jaar eerder (%)
2018,november,127.4,9.5
2018,december,126.6,8.4
2019,januari,128.8,8.7
2019,februari,128.7,7.5
2019,maart,129.2,7.7
2019,april,129.8,7.7
2019,mei,130.4,7.2
2019,juni,130.9,6.9
2019,juli,132.4,7
2019,augustus,132.5,5.7
2019,september,133.4,6.1
2019,oktober,134.1,6.3
2019,november,134.8,5.8
2019,december,134.8,6.5
2020,januari,136.9,6.3
2020,februari,137.2,6.6
2020,maart,138.3,7
2020,april,139.3,7.3
2020,mei,140.4,7.7
2020,juni,140.9,7.6
2020,juli,142.2,7.4
2020,augustus,143.4,8.2
2020,september,144.8,8.6
2020,oktober,146.3,9.1
2020,november,146.8,8.9
2020,december,146.1,8.3
2021,januari,149.7,9.3
2021,februari,151.4,10.4
2021,maart,153.9,11.3
2021,april,155.3,11.5
2021,mei,158.4,12.9
2021,juni,161.4,14.6
2021,juli,165.3,16.3
2021,augustus,168.9,17.8
2021,september,171.5,18.5
2021,oktober,173.2,18.3
2021,november,176.3,20.1
2021,december,175.8,20.4
2022,januari,181.3,21.1
2022,februari,182.1,20.2
2022,maart,183.9,19.5
2022,april,185.9,19.7
2022,mei,188.2,18.8
2022,juni,188.3,16.6
2022,juli,189.2,14.5
2022,augustus,189,11.9
2022,september,187.6,9.4
2022,oktober,186.7,7.8
2022,november,184.9,4.9
2022,december,180.6,2.7
2023,januari,183.3,1.1
2023,februari,180.6,-0.8
2023,maart,179.6,-2.3
2023,april,177.7,-4.4
2023,mei,177.6,-5.6
2023,juni,178,-5.5
2023,juli,178.9,-5.5
2023,augustus,180,-4.8
2023,september,181,-3.5
2023,oktober,182.4,-2.3
2023,november,183.2,-0.9
