"ID";"WijkenEnBuurten";"Codering_3";"OpleidingsniveauLaag_64";"OpleidingsniveauMiddelbaar_65";"OpleidingsniveauHoog_66"
"0";"NL00      ";"NL00      ";" 3663210";" 5505600";" 4100340"
"1";"GM1680    ";"GM1680    ";"    4570";"    8800";"    5790"
"2";"WK168000  ";"WK168000  ";"     560";"    1270";"     830"
"3";"BU16800000";"BU16800000";"     530";"    1210";"     790"
"4";"BU16800009";"BU16800009";"      20";"      60";"      40"
"5";"WK168001  ";"WK168001  ";"     190";"     590";"     340"
"6";"BU16800100";"BU16800100";"     180";"     510";"     290"
"7";"BU16800109";"BU16800109";"      20";"      80";"      50"
"8";"WK168002  ";"WK168002  ";"      70";"     100";"     130"
"9";"BU16800200";"BU16800200";"      60";"      80";"     100"
"10";"BU16800209";"BU16800209";"      10";"      20";"      30"
"11";"WK168003  ";"WK168003  ";"      30";"     180";"     120"
"12";"BU16800300";"BU16800300";"       .";"       .";"       ."
"13";"BU16800309";"BU16800309";"       .";"       .";"       ."
"14";"WK168004  ";"WK168004  ";"      40";"      90";"      90"
"15";"BU16800400";"BU16800400";"       .";"       .";"       ."
"16";"BU16800409";"BU16800409";"       .";"       .";"       ."
"17";"WK168005  ";"WK168005  ";"      70";"     150";"     220"
"18";"BU16800500";"BU16800500";"      50";"     140";"     210"
"19";"BU16800509";"BU16800509";"      10";"      10";"      10"
"20";"WK168006  ";"WK168006  ";"      80";"     170";"     120"
"21";"BU16800600";"BU16800600";"       .";"       .";"       ."
"22";"BU16800609";"BU16800609";"       .";"       .";"       ."
"23";"WK168007  ";"WK168007  ";"      40";"      70";"      20"
"24";"BU16800700";"BU16800700";"      40";"      70";"      20"
"25";"BU16800709";"BU16800709";"       .";"       .";"       ."
"26";"WK168008  ";"WK168008  ";"      20";"      30";"      30"
"27";"BU16800800";"BU16800800";"       .";"       .";"       ."
"28";"BU16800809";"BU16800809";"       .";"       .";"       ."
"29";"WK168009  ";"WK168009  ";"      20";"      30";"      50"
"30";"BU16800900";"BU16800900";"       .";"       .";"       ."
"31";"BU16800909";"BU16800909";"       .";"       .";"       ."
"32";"WK168011  ";"WK168011  ";"      90";"     150";"      70"
"33";"BU16801100";"BU16801100";"       .";"       .";"       ."
"34";"BU16801109";"BU16801109";"       .";"       .";"       ."
"35";"WK168012  ";"WK168012  ";"      60";"      90";"      50"
"36";"BU16801200";"BU16801200";"       .";"       .";"       ."
"37";"BU16801209";"BU16801209";"       .";"       .";"       ."
"38";"WK168013  ";"WK168013  ";"      10";"      30";"      60"
"39";"BU16801300";"BU16801300";"       .";"       .";"       ."
"40";"BU16801309";"BU16801309";"       .";"       .";"       ."
"41";"WK168014  ";"WK168014  ";"     370";"     590";"     440"
"42";"BU16801400";"BU16801400";"     280";"     480";"     340"
"43";"BU16801401";"BU16801401";"      30";"      30";"      50"
"44";"BU16801409";"BU16801409";"      60";"      90";"      40"
"45";"WK168015  ";"WK168015  ";"     490";"     650";"     300"
"46";"BU16801500";"BU16801500";"     480";"     630";"     290"
"47";"BU16801501";"BU16801501";"      10";"      20";"      10"
"48";"BU16801509";"BU16801509";"       .";"       .";"       ."
"49";"WK168016  ";"WK168016  ";"     110";"     320";"     110"
"50";"BU16801600";"BU16801600";"     110";"     280";"     110"
"51";"BU16801601";"BU16801601";"       .";"       .";"       ."
"52";"BU16801609";"BU16801609";"       .";"       .";"       ."
"53";"WK168017  ";"WK168017  ";"     850";"    1720";"    1080"
"54";"BU16801700";"BU16801700";"     840";"    1700";"     980"
"55";"BU16801709";"BU16801709";"      10";"      20";"      90"
"56";"WK168018  ";"WK168018  ";"     370";"     410";"     190"
"57";"BU16801800";"BU16801800";"     210";"     210";"     100"
"58";"BU16801801";"BU16801801";"      40";"      30";"      20"
"59";"BU16801802";"BU16801802";"      90";"     100";"      20"
"60";"BU16801809";"BU16801809";"      40";"      80";"      50"
"61";"WK168019  ";"WK168019  ";"     810";"    1590";"    1110"
"62";"BU16801900";"BU16801900";"     620";"    1170";"     820"
"63";"BU16801901";"BU16801901";"      20";"      60";"      40"
"64";"BU16801902";"BU16801902";"      20";"       0";"      30"
"65";"BU16801903";"BU16801903";"      10";"      40";"      20"
"66";"BU16801908";"BU16801908";"     120";"     260";"     150"
"67";"BU16801909";"BU16801909";"      20";"      60";"      40"
"68";"WK168020  ";"WK168020  ";"     210";"     380";"     300"
"69";"BU16802000";"BU16802000";"     100";"     210";"     170"
"70";"BU16802001";"BU16802001";"      20";"      60";"      60"
"71";"BU16802008";"BU16802008";"      30";"      10";"      10"
"72";"BU16802009";"BU16802009";"      50";"     110";"      50"
"73";"WK168021  ";"WK168021  ";"      60";"     190";"     150"
"74";"BU16802100";"BU16802100";"      40";"      90";"      90"
"75";"BU16802101";"BU16802101";"      10";"      40";"      30"
"76";"BU16802109";"BU16802109";"      10";"      60";"      40"
"77";"GM0358    ";"GM0358    ";"    6800";"   10200";"    6660"
"78";"WK035800  ";"WK035800  ";"    2800";"    3990";"    2560"
"79";"BU03580000";"BU03580000";"     530";"     720";"     690"
"80";"BU03580001";"BU03580001";"    1580";"    2070";"    1290"
"81";"BU03580004";"BU03580004";"     520";"     890";"     390"
"82";"BU03580005";"BU03580005";"     140";"     330";"     200"
"83";"WK035801  ";"WK035801  ";"    1960";"    3160";"    1890"
"84";"BU03580100";"BU03580100";"    1960";"    3160";"    1890"
"85";"WK035802  ";"WK035802  ";"    2050";"    3060";"    2210"
"86";"BU03580200";"BU03580200";"     200";"     400";"     150"
"87";"BU03580201";"BU03580201";"     170";"     260";"     190"
"88";"BU03580205";"BU03580205";"    1600";"    2270";"    1740"
"89";"BU03580206";"BU03580206";"      70";"     130";"     140"
"90";"GM0197    ";"GM0197    ";"    6040";"    9810";"    4350"
"91";"WK019701  ";"WK019701  ";"     850";"    1570";"     690"
"92";"BU01970101";"BU01970101";"      20";"      50";"      30"
"93";"BU01970102";"BU01970102";"     150";"     140";"      90"
"94";"BU01970103";"BU01970103";"      80";"     140";"      50"
"95";"BU01970104";"BU01970104";"      70";"     210";"      80"
"96";"BU01970105";"BU01970105";"      30";"      60";"      30"
"97";"BU01970106";"BU01970106";"      20";"      60";"      40"
"98";"BU01970107";"BU01970107";"      50";"     100";"      60"
"99";"BU01970108";"BU01970108";"     130";"     270";"      80"
"100";"BU01970109";"BU01970109";"      30";"      50";"      10"
"101";"BU01970110";"BU01970110";"     100";"     220";"     160"
"102";"BU01970111";"BU01970111";"     110";"     250";"      70"
"103";"BU01970112";"BU01970112";"      10";"      30";"      20"
"104";"WK019702  ";"WK019702  ";"     370";"     720";"     390"
"105";"BU01970201";"BU01970201";"      40";"      80";"      50"
"106";"BU01970202";"BU01970202";"      30";"      90";"      40"
"107";"BU01970203";"BU01970203";"      10";"      20";"      30"
"108";"BU01970204";"BU01970204";"     290";"     540";"     270"
"109";"WK019703  ";"WK019703  ";"    2820";"    4560";"    2060"
"110";"BU01970301";"BU01970301";"     490";"     710";"     300"
"111";"BU01970302";"BU01970302";"     570";"     910";"     310"
"112";"BU01970303";"BU01970303";"     310";"     680";"     230"
"113";"BU01970304";"BU01970304";"     570";"     890";"     450"
"114";"BU01970305";"BU01970305";"     130";"     310";"     250"
"115";"BU01970306";"BU01970306";"     200";"     400";"     160"
"116";"BU01970307";"BU01970307";"     530";"     670";"     370"
