ID	SoortMisdrijf	WijkenEnBuurten	Perioden	GeregistreerdeMisdrijven	WijkenEnBuurtenRaw	SoortMisdrijfRaw	PeriodenRaw
144	0.0.0	GM1680    	2012MM01	37.0	Aa en Hunze	Totaal misdrijven	2012 januari
145	0.0.0	GM1680    	2012MM02	49.0	Aa en Hunze	Totaal misdrijven	2012 februari
146	0.0.0	GM1680    	2012MM03	36.0	Aa en Hunze	Totaal misdrijven	2012 maart
147	0.0.0	GM1680    	2012MM04	26.0	Aa en Hunze	Totaal misdrijven	2012 april
148	0.0.0	GM1680    	2012MM05	30.0	Aa en Hunze	Totaal misdrijven	2012 mei
149	0.0.0	GM1680    	2012MM06	18.0	Aa en Hunze	Totaal misdrijven	2012 juni
150	0.0.0	GM1680    	2012MM07	25.0	Aa en Hunze	Totaal misdrijven	2012 juli
151	0.0.0	GM1680    	2012MM08	59.0	Aa en Hunze	Totaal misdrijven	2012 augustus
152	0.0.0	GM1680    	2012MM09	32.0	Aa en Hunze	Totaal misdrijven	2012 september
153	0.0.0	GM1680    	2012MM10	38.0	Aa en Hunze	Totaal misdrijven	2012 oktober
154	0.0.0	GM1680    	2012MM11	37.0	Aa en Hunze	Totaal misdrijven	2012 november
155	0.0.0	GM1680    	2012MM12	14.0	Aa en Hunze	Totaal misdrijven	2012 december
156	0.0.0	GM1680    	2013MM01	32.0	Aa en Hunze	Totaal misdrijven	2013 januari
157	0.0.0	GM1680    	2013MM02	27.0	Aa en Hunze	Totaal misdrijven	2013 februari
158	0.0.0	GM1680    	2013MM03	24.0	Aa en Hunze	Totaal misdrijven	2013 maart
159	0.0.0	GM1680    	2013MM04	18.0	Aa en Hunze	Totaal misdrijven	2013 april
160	0.0.0	GM1680    	2013MM05	28.0	Aa en Hunze	Totaal misdrijven	2013 mei
161	0.0.0	GM1680    	2013MM06	21.0	Aa en Hunze	Totaal misdrijven	2013 juni
162	0.0.0	GM1680    	2013MM07	25.0	Aa en Hunze	Totaal misdrijven	2013 juli
163	0.0.0	GM1680    	2013MM08	18.0	Aa en Hunze	Totaal misdrijven	2013 augustus
164	0.0.0	GM1680    	2013MM09	23.0	Aa en Hunze	Totaal misdrijven	2013 september
165	0.0.0	GM1680    	2013MM10	20.0	Aa en Hunze	Totaal misdrijven	2013 oktober
166	0.0.0	GM1680    	2013MM11	26.0	Aa en Hunze	Totaal misdrijven	2013 november
167	0.0.0	GM1680    	2013MM12	47.0	Aa en Hunze	Totaal misdrijven	2013 december
168	0.0.0	GM1680    	2014MM01	14.0	Aa en Hunze	Totaal misdrijven	2014 januari
169	0.0.0	GM1680    	2014MM02	15.0	Aa en Hunze	Totaal misdrijven	2014  februari
170	0.0.0	GM1680    	2014MM03	24.0	Aa en Hunze	Totaal misdrijven	2014 maart
171	0.0.0	GM1680    	2014MM04	16.0	Aa en Hunze	Totaal misdrijven	2014 april
172	0.0.0	GM1680    	2014MM05	17.0	Aa en Hunze	Totaal misdrijven	2014 mei
173	0.0.0	GM1680    	2014MM06	20.0	Aa en Hunze	Totaal misdrijven	2014 juni
174	0.0.0	GM1680    	2014MM07	12.0	Aa en Hunze	Totaal misdrijven	2014 juli
175	0.0.0	GM1680    	2014MM08	12.0	Aa en Hunze	Totaal misdrijven	2014 augustus
176	0.0.0	GM1680    	2014MM09	18.0	Aa en Hunze	Totaal misdrijven	2014 september 
177	0.0.0	GM1680    	2014MM10	10.0	Aa en Hunze	Totaal misdrijven	2014 oktober
178	0.0.0	GM1680    	2014MM11	17.0	Aa en Hunze	Totaal misdrijven	2014 november
179	0.0.0	GM1680    	2014MM12	12.0	Aa en Hunze	Totaal misdrijven	2014 december
180	0.0.0	GM1680    	2015MM01	20.0	Aa en Hunze	Totaal misdrijven	2015 januari
181	0.0.0	GM1680    	2015MM02	11.0	Aa en Hunze	Totaal misdrijven	2015  februari
182	0.0.0	GM1680    	2015MM03	15.0	Aa en Hunze	Totaal misdrijven	2015 maart
183	0.0.0	GM1680    	2015MM04	21.0	Aa en Hunze	Totaal misdrijven	2015 april
184	0.0.0	GM1680    	2015MM05	23.0	Aa en Hunze	Totaal misdrijven	2015 mei
185	0.0.0	GM1680    	2015MM06	5.0	Aa en Hunze	Totaal misdrijven	2015 juni
186	0.0.0	GM1680    	2015MM07	12.0	Aa en Hunze	Totaal misdrijven	2015 juli
187	0.0.0	GM1680    	2015MM08	17.0	Aa en Hunze	Totaal misdrijven	2015 augustus
188	0.0.0	GM1680    	2015MM09	20.0	Aa en Hunze	Totaal misdrijven	2015 september
189	0.0.0	GM1680    	2015MM10	11.0	Aa en Hunze	Totaal misdrijven	2015 oktober
190	0.0.0	GM1680    	2015MM11	13.0	Aa en Hunze	Totaal misdrijven	2015 november
191	0.0.0	GM1680    	2015MM12	39.0	Aa en Hunze	Totaal misdrijven	2015 december
192	0.0.0	GM1680    	2016MM01	13.0	Aa en Hunze	Totaal misdrijven	2016 januari
193	0.0.0	GM1680    	2016MM02	12.0	Aa en Hunze	Totaal misdrijven	2016  februari
194	0.0.0	GM1680    	2016MM03	20.0	Aa en Hunze	Totaal misdrijven	2016 maart
195	0.0.0	GM1680    	2016MM04	8.0	Aa en Hunze	Totaal misdrijven	2016 april
196	0.0.0	GM1680    	2016MM05	14.0	Aa en Hunze	Totaal misdrijven	2016 mei
197	0.0.0	GM1680    	2016MM06	15.0	Aa en Hunze	Totaal misdrijven	2016 juni
198	0.0.0	GM1680    	2016MM07	10.0	Aa en Hunze	Totaal misdrijven	2016 juli
199	0.0.0	GM1680    	2016MM08	13.0	Aa en Hunze	Totaal misdrijven	2016 augustus
200	0.0.0	GM1680    	2016MM09	7.0	Aa en Hunze	Totaal misdrijven	2016 september
201	0.0.0	GM1680    	2016MM10	12.0	Aa en Hunze	Totaal misdrijven	2016 oktober
202	0.0.0	GM1680    	2016MM11	14.0	Aa en Hunze	Totaal misdrijven	2016 november
203	0.0.0	GM1680    	2016MM12	11.0	Aa en Hunze	Totaal misdrijven	2016 december
204	0.0.0	GM1680    	2017MM01	16.0	Aa en Hunze	Totaal misdrijven	2017 januari
205	0.0.0	GM1680    	2017MM02	7.0	Aa en Hunze	Totaal misdrijven	2017 februari
206	0.0.0	GM1680    	2017MM03	12.0	Aa en Hunze	Totaal misdrijven	2017 maart
207	0.0.0	GM1680    	2017MM04	4.0	Aa en Hunze	Totaal misdrijven	2017 april
208	0.0.0	GM1680    	2017MM05	11.0	Aa en Hunze	Totaal misdrijven	2017 mei
209	0.0.0	GM1680    	2017MM06	6.0	Aa en Hunze	Totaal misdrijven	2017 juni
210	0.0.0	GM1680    	2017MM07	11.0	Aa en Hunze	Totaal misdrijven	2017 juli
211	0.0.0	GM1680    	2017MM08	14.0	Aa en Hunze	Totaal misdrijven	2017 augustus
212	0.0.0	GM1680    	2017MM09	7.0	Aa en Hunze	Totaal misdrijven	2017 september
213	0.0.0	GM1680    	2017MM10	5.0	Aa en Hunze	Totaal misdrijven	2017 oktober
214	0.0.0	GM1680    	2017MM11	20.0	Aa en Hunze	Totaal misdrijven	2017 november
215	0.0.0	GM1680    	2017MM12	11.0	Aa en Hunze	Totaal misdrijven	2017 december
216	0.0.0	GM1680    	2018MM01	17.0	Aa en Hunze	Totaal misdrijven	2018 januari 
217	0.0.0	GM1680    	2018MM02	8.0	Aa en Hunze	Totaal misdrijven	2018 februari
218	0.0.0	GM1680    	2018MM03	6.0	Aa en Hunze	Totaal misdrijven	2018 maart
219	0.0.0	GM1680    	2018MM04	14.0	Aa en Hunze	Totaal misdrijven	2018 april
220	0.0.0	GM1680    	2018MM05	7.0	Aa en Hunze	Totaal misdrijven	2018 mei
221	0.0.0	GM1680    	2018MM06	8.0	Aa en Hunze	Totaal misdrijven	2018 juni
222	0.0.0	GM1680    	2018MM07	14.0	Aa en Hunze	Totaal misdrijven	2018 juli
223	0.0.0	GM1680    	2018MM08	15.0	Aa en Hunze	Totaal misdrijven	2018 augustus
224	0.0.0	GM1680    	2018MM09	16.0	Aa en Hunze	Totaal misdrijven	2018 september
225	0.0.0	GM1680    	2018MM10	8.0	Aa en Hunze	Totaal misdrijven	2018 oktober
226	0.0.0	GM1680    	2018MM11	7.0	Aa en Hunze	Totaal misdrijven	2018 november
227	0.0.0	GM1680    	2018MM12	7.0	Aa en Hunze	Totaal misdrijven	2018 december
228	0.0.0	GM1680    	2019MM01	11.0	Aa en Hunze	Totaal misdrijven	2019 januari
229	0.0.0	GM1680    	2019MM02	13.0	Aa en Hunze	Totaal misdrijven	2019 februari
230	0.0.0	GM1680    	2019MM03	14.0	Aa en Hunze	Totaal misdrijven	2019 maart
231	0.0.0	GM1680    	2019MM04	13.0	Aa en Hunze	Totaal misdrijven	2019 april
232	0.0.0	GM1680    	2019MM05	14.0	Aa en Hunze	Totaal misdrijven	2019 mei
233	0.0.0	GM1680    	2019MM06	7.0	Aa en Hunze	Totaal misdrijven	2019 juni
