,Gemeente,Bevolking,Laag,Middelbaar,Hoog,Gemeentecode
2,Almere                                            ,160290,29.5,45.7,24.9,0034
75,Zeewolde                                          ,17175,24.8,47.2,28,0050
88,Noordoostpolder                                   ,34850,30.3,48.8,20.9,0171
150,Urk                                               ,14115,39,50.5,10.5,0184
163,Dronten                                           ,30880,26.9,50.1,23,0303
213,Amersfoort                                        ,117685,24.6,37.3,38.1,0307
391,Baarn                                             ,18150,25.5,39.2,35.3,0308
418,De Bilt                                           ,30705,22,33.4,44.5,0310
439,Bunnik                                            ,10855,19.6,36.9,43.4,0312
451,Bunschoten                                        ,15995,36.1,48.4,15.5,0313
463,Eemnes                                            ,6920,24.8,46.8,28.5,0317
475,Houten                                            ,37585,23,37.8,39.2,0321
548,Leusden                                           ,22250,21.7,41.9,36.4,0327
583,Lopik                                             ,11045,35.8,46.1,18.2,0331
599,Montfoort                                         ,10460,28.9,44.9,26.2,0335
615,Renswoude                                         ,3840,33.8,49.9,16.3,0339
619,Rhenen                                            ,14565,32,42.2,25.7,0340
664,Soest                                             ,34105,27.9,39.1,33,0342
702,Utrecht                                           ,275650,20.3,30,49.7,0344
824,Veenendaal                                        ,48490,30.7,44.6,24.7,0345
867,Woudenberg                                        ,9455,23.9,46.8,29.2,0351
881,Wijk bij Duurstede                                ,18245,25.8,46.6,27.6,0352
904,IJsselstein                                       ,25785,28.3,42.3,29.4,0353
936,Zeist                                             ,46500,25,34.7,40.3,0355
977,Nieuwegein                                        ,48960,30,44.2,25.8,0356
1022,Aalsmeer                                          ,23410,29.6,44.8,25.6,0358
1035,Alkmaar                                           ,83315,27.7,42.8,29.5,0361
1113,Amstelveen                                        ,66400,19.6,37.9,42.5,0362
1175,Amsterdam                                         ,693485,23.3,30.9,45.8,0363
1754,Beemster                                          ,7290,25.6,44.9,29.5,0370
1767,Bergen (NH.)                                      ,22140,25.3,42.3,32.4,0373
1811,Beverwijk                                         ,31230,33.9,45.7,20.4,0375
1859,Blaricum                                          ,8150,21.8,36.7,41.5,0376
1870,Bloemendaal                                       ,16210,20.2,30.8,49,0377
1898,Castricum                                         ,26550,21.8,43.4,34.8,0383
1926,Diemen                                            ,22745,21.1,39.7,39.2,0384
1955,Edam-Volendam                                     ,27450,39.7,39.7,20.6,0385
1993,Enkhuizen                                         ,14015,32.9,45.3,21.7,0388
2004,Haarlem                                           ,121970,25,34.6,40.4,0392
2137,Haarlemmerliede en Spaarnwoude                    ,4695,24.2,47,28.9,0393
2145,Haarlemmermeer                                    ,112540,28.5,43.7,27.8,0394
2249,Heemskerk                                         ,29250,30.7,46.8,22.5,0396
2299,Heemstede                                         ,18790,18.8,31.3,49.8,0397
2317,Heerhugowaard                                     ,42470,30.4,47.8,21.8,0398
2378,Heiloo                                            ,16840,22.3,38.8,38.9,0399
2407,Den Helder                                        ,42475,32.5,51.7,15.9,0400
2481,Hilversum                                         ,67090,26.2,37.7,36.1,0402
