"Soort misdrijf";"Perioden";"Wijken en buurten";"Geregistreerde misdrijven (aantal)"
"Totaal misdrijven";"2022 december";"Utrechtse Heuvelrug";129
"Totaal misdrijven";"2023 januari";"Utrechtse Heuvelrug";122
"Totaal misdrijven";"2023 februari";"Utrechtse Heuvelrug";102
"Totaal misdrijven";"2023 maart";"Utrechtse Heuvelrug";115
"Totaal misdrijven";"2023 april";"Utrechtse Heuvelrug";110
"Totaal misdrijven";"2023 mei";"Utrechtse Heuvelrug";113
"Totaal misdrijven";"2023 juni";"Utrechtse Heuvelrug";126
"Totaal misdrijven";"2023 juli";"Utrechtse Heuvelrug";138
"Totaal misdrijven";"2023 augustus";"Utrechtse Heuvelrug";132
"Totaal misdrijven";"2023 september";"Utrechtse Heuvelrug";144
"Totaal misdrijven";"2023 oktober";"Utrechtse Heuvelrug";109
"Totaal misdrijven";"2023 november";"Utrechtse Heuvelrug";125
"Totaal misdrijven";"2022 december";"Doorn";36
"Totaal misdrijven";"2023 januari";"Doorn";26
"Totaal misdrijven";"2023 februari";"Doorn";14
"Totaal misdrijven";"2023 maart";"Doorn";26
"Totaal misdrijven";"2023 april";"Doorn";26
"Totaal misdrijven";"2023 mei";"Doorn";19
"Totaal misdrijven";"2023 juni";"Doorn";23
"Totaal misdrijven";"2023 juli";"Doorn";32
"Totaal misdrijven";"2023 augustus";"Doorn";42
"Totaal misdrijven";"2023 september";"Doorn";36
"Totaal misdrijven";"2023 oktober";"Doorn";21
"Totaal misdrijven";"2023 november";"Doorn";23
"Totaal misdrijven";"2022 december";"Doorn-Centrum";22
"Totaal misdrijven";"2023 januari";"Doorn-Centrum";13
"Totaal misdrijven";"2023 februari";"Doorn-Centrum";3
"Totaal misdrijven";"2023 maart";"Doorn-Centrum";6
"Totaal misdrijven";"2023 april";"Doorn-Centrum";8
"Totaal misdrijven";"2023 mei";"Doorn-Centrum";3
"Totaal misdrijven";"2023 juni";"Doorn-Centrum";8
"Totaal misdrijven";"2023 juli";"Doorn-Centrum";10
"Totaal misdrijven";"2023 augustus";"Doorn-Centrum";16
"Totaal misdrijven";"2023 september";"Doorn-Centrum";10
"Totaal misdrijven";"2023 oktober";"Doorn-Centrum";11
"Totaal misdrijven";"2023 november";"Doorn-Centrum";10
"Totaal misdrijven";"2022 december";"Doorn - Boswijk";1
"Totaal misdrijven";"2023 januari";"Doorn - Boswijk";2
"Totaal misdrijven";"2023 februari";"Doorn - Boswijk";1
"Totaal misdrijven";"2023 maart";"Doorn - Boswijk";0
"Totaal misdrijven";"2023 april";"Doorn - Boswijk";1
"Totaal misdrijven";"2023 mei";"Doorn - Boswijk";0
"Totaal misdrijven";"2023 juni";"Doorn - Boswijk";2
"Totaal misdrijven";"2023 juli";"Doorn - Boswijk";1
"Totaal misdrijven";"2023 augustus";"Doorn - Boswijk";3
"Totaal misdrijven";"2023 september";"Doorn - Boswijk";2
"Totaal misdrijven";"2023 oktober";"Doorn - Boswijk";1
"Totaal misdrijven";"2023 november";"Doorn - Boswijk";0
"Totaal misdrijven";"2022 december";"Doorn-Noordwest";1
"Totaal misdrijven";"2023 januari";"Doorn-Noordwest";4
"Totaal misdrijven";"2023 februari";"Doorn-Noordwest";3
"Totaal misdrijven";"2023 maart";"Doorn-Noordwest";5
"Totaal misdrijven";"2023 april";"Doorn-Noordwest";1
"Totaal misdrijven";"2023 mei";"Doorn-Noordwest";0
"Totaal misdrijven";"2023 juni";"Doorn-Noordwest";2
"Totaal misdrijven";"2023 juli";"Doorn-Noordwest";2
"Totaal misdrijven";"2023 augustus";"Doorn-Noordwest";3
"Totaal misdrijven";"2023 september";"Doorn-Noordwest";4
"Totaal misdrijven";"2023 oktober";"Doorn-Noordwest";2
"Totaal misdrijven";"2023 november";"Doorn-Noordwest";5
"Totaal misdrijven";"2022 december";"Doorn-Zuid";3
"Totaal misdrijven";"2023 januari";"Doorn-Zuid";3
"Totaal misdrijven";"2023 februari";"Doorn-Zuid";4
"Totaal misdrijven";"2023 maart";"Doorn-Zuid";7
"Totaal misdrijven";"2023 april";"Doorn-Zuid";4
"Totaal misdrijven";"2023 mei";"Doorn-Zuid";4
"Totaal misdrijven";"2023 juni";"Doorn-Zuid";1
"Totaal misdrijven";"2023 juli";"Doorn-Zuid";5
"Totaal misdrijven";"2023 augustus";"Doorn-Zuid";5
"Totaal misdrijven";"2023 september";"Doorn-Zuid";10
"Totaal misdrijven";"2023 oktober";"Doorn-Zuid";1
"Totaal misdrijven";"2023 november";"Doorn-Zuid";1
"Totaal misdrijven";"2022 december";"Doorn-Zuidoost";3
"Totaal misdrijven";"2023 januari";"Doorn-Zuidoost";2
"Totaal misdrijven";"2023 februari";"Doorn-Zuidoost";1
"Totaal misdrijven";"2023 maart";"Doorn-Zuidoost";3
